zip_code,cases
60002,17
60004,78
60005,24
60007,38
60010,21
60012,11
60013,22
60015,55
60016,111
60020,10
60025,107
60026,45
60035,78
60044,25
60047,30
60053,49
60056,57
60060,36
60061,28
60062,65
60068,73
60073,94
60076,114
60085,222
60089,48
60091,60
60093,74
60098,35
60101,65
60102,25
60104,110
60107,45
60108,22
60119,6
60120,41
60130,40
60131,40
60133,45
60143,7
60148,58
60160,51
60162,26
60169,20
60171,22
60176,13
60181,43
60188,53
60189,23
60191,7
60193,38
60201,80
60202,65
60203,15
60305,10
60402,135
60404,27
60410,8
60415,28
60417,40
60423,51
60425,38
60426,78
60429,70
60432,35
60433,46
60434,17
60435,113
60438,75
60439,31
60440,93
60441,59
60442,15
60447,6
60448,30
60450,8
60452,39
60455,51
60458,14
60462,57
60465,29
60467,37
60469,9
60471,60
60472,19
60482,13
60484,38
60490,45
60501,15
60502,17
60503,10
60504,31
60505,44
60513,30
60516,27
60517,39
60523,19
60525,49
60526,13
60527,91
60532,18
60534,12
60540,20
60542,13
60551,7
60554,7
60558,10
60559,38
60561,37
60564,36
60585,22
60586,67
60601,31
60607,78
60610,85
60611,61
60616,116
60618,156
60619,276
60620,312
60621,115
60622,134
60623,217
60628,251
60630,90
60631,67
60633,25
60634,172
60636,141
60637,145
60638,113
60640,117
60642,29
60643,215
60645,298
60649,171
60651,202
60652,133
60657,129
60660,78
60805,47
60827,90
60950,10
60964,7
61021,8
61101,7
61103,6
61109,8
61114,7
61241,8
61244,28
61265,22
61704,14
61705,6
61764,8
61801,10
61802,13
61853,6
61874,6
62034,6
62207,6
62220,7
62221,18
62234,12
62301,9
60008,21
60014,26
60018,49
60022,13
60030,25
60031,49
60042,7
60043,12
60045,58
60046,39
60048,38
60050,24
60051,16
60064,60
60067,21
60069,13
60070,13
60074,38
60077,98
60081,11
60083,15
60084,31
60087,72
60090,54
60099,76
60103,26
60106,47
60110,15
60115,17
60118,10
60123,40
60124,11
60126,47
60134,13
60136,8
60137,28
60139,45
60140,11
60142,13
60153,82
60154,58
60155,25
60156,16
60163,10
60164,38
60165,12
60172,23
60173,8
60174,14
60175,19
60177,10
60178,8
60185,41
60187,6
60192,7
60194,21
60301,9
60302,59
60304,18
60401,19
60403,43
60406,57
60409,119
60411,178
60418,18
60419,93
60422,37
60428,51
60430,63
60431,49
60436,24
60443,116
60445,27
60446,64
60449,19
60451,30
60453,99
60457,20
60459,46
60461,23
60463,33
60464,11
60466,127
60468,8
60473,103
60475,30
60477,43
60478,82
60480,6
60487,30
60491,35
60506,69
60510,7
60514,20
60515,19
60521,21
60538,11
60543,31
60544,32
60545,7
60546,25
60555,8
60560,14
60563,30
60565,43
60605,50
60606,12
60608,201
60609,125
60612,184
60613,121
60614,134
60615,116
60617,244
60624,182
60625,145
60626,108
60629,201
60632,138
60639,189
60641,95
60644,227
60646,53
60647,106
60653,122
60654,41
60655,85
60656,52
60659,148
60661,17
60706,40
60707,85
60712,42
60714,70
60803,30
60804,161
60901,108
60914,23
60954,6
61032,6
61081,13
61102,10
61107,6
61108,8
61201,19
61282,6
61611,6
61701,27
61761,17
61821,10
61822,19
61910,6
62002,16
62025,13
62035,7
62040,20
62203,6
62206,11
62208,12
62223,14
62226,21
62233,18
62236,23
62258,8
62265,7
62269,16
62278,8
62298,17
62305,11
62568,20
62650,9
62702,10
62711,7
62801,24
62901,21
62959,6
