,pop,zip_code
0,24066,60002
0,50915,60004
0,29539,60005
0,33420,60007
0,21833,60008
0,46087,60010
0,10958,60012
0,25827,60013
0,48443,60014
0,27452,60015
0,59637,60016
0,30386,60018
0,9827,60020
0,5548,60021
0,8477,60022
0,41014,60025
0,14118,60026
0,560,60029
0,36817,60030
0,37172,60031
0,13681,60033
0,2077,60034
0,29734,60035
0,5366,60040
0,8897,60041
0,8420,60042
0,2512,60043
0,10003,60044
0,21131,60045
0,35286,60046
0,42637,60047
0,29058,60048
0,32732,60050
0,23298,60051
0,23256,60053
0,55250,60056
0,37208,60060
0,27004,60061
0,40459,60062
0,15705,60064
0,38177,60067
0,37736,60068
0,8186,60069
0,16049,60070
0,3581,60071
0,1021,60072
0,61706,60073
0,39478,60074
0,31867,60076
0,28329,60077
0,9660,60081
0,9990,60083
0,16612,60084
0,70850,60085
0,26678,60087
0,12662,60088
0,41392,60089
0,38476,60090
0,27367,60091
0,19441,60093
0,6803,60096
0,10826,60097
0,32526,60098
0,30934,60099
0,39216,60101
0,32739,60102
0,42196,60103
0,18999,60104
0,20462,60106
0,40437,60107
0,22766,60108
0,568,60109
0,39333,60110
0,150,60111
0,4356,60112
0,339,60113
0,45325,60115
0,15836,60118
0,10246,60119
0,50922,60120
0,48952,60123
0,22338,60124
0,48410,60126
0,260,60129
0,14041,60130
0,18025,60131
0,38400,60133
0,29401,60134
0,6906,60135
0,7742,60136
0,38279,60137
0,34364,60139
0,17639,60140
0,216,60141
0,28121,60142
0,10996,60143
0,69,60144
0,2673,60145
0,2655,60146
0,52963,60148
0,1692,60150
0,4024,60151
0,12345,60152
0,23810,60153
0,16573,60154
0,7829,60155
0,28886,60156
0,2502,60157
0,25412,60160
0,8165,60162
0,5161,60163
0,21600,60164
0,4923,60165
0,33667,60169
0,10148,60171
0,24551,60172
0,12162,60173
0,31405,60174
0,25734,60175
0,11704,60176
0,23109,60177
0,22413,60178
0,2077,60180
0,28801,60181
0,2357,60184
0,36129,60185
0,29708,60187
0,42602,60188
0,30427,60189
0,11143,60190
0,14147,60191
0,15650,60192
0,40248,60193
0,18946,60194
0,5568,60195
0,42296,60201
0,32861,60202
0,4188,60203
0,2536,60301
0,32048,60302
0,17641,60304
0,11064,60305
0,7779,60401
0,63554,60402
0,18254,60403
0,18796,60404
0,25256,60406
0,1696,60407
0,5649,60408
0,36955,60409
0,12791,60410
0,57800,60411
0,14254,60415
0,9164,60416
0,15225,60417
0,22644,60419
0,4812,60420
0,3843,60421
0,9768,60422
0,30938,60423
0,2465,60424
0,8912,60425
0,28924,60426
0,12271,60428
0,15387,60429
0,20227,60430
0,23219,60431
0,20222,60432
0,16629,60433
0,49863,60435
0,18945,60436
0,183,60437
0,28960,60438
0,23422,60439
0,52246,60440
0,35415,60441
0,10531,60442
0,21554,60443
0,1721,60444
0,25930,60445
0,40085,60446
0,14220,60447
0,26710,60448
0,9400,60449
0,20460,60450
0,34945,60451
0,28324,60452
0,56420,60453
0,16479,60455
0,4308,60456
0,14018,60457
0,15288,60458
0,28908,60459
0,1333,60460
0,4917,60461
0,40305,60462
0,14926,60463
0,9715,60464
0,17473,60465
0,21989,60466
0,26628,60467
0,6044,60468
0,5780,60469
0,497,60470
0,14055,60471
0,4870,60472
0,22201,60473
0,986,60474
0,9674,60475
0,2493,60476
0,37919,60477
0,17112,60478
0,934,60479
0,5370,60480
0,11540,60481
0,10916,60482
0,6580,60484
0,26588,60487
0,22202,60490
0,22961,60491
0,11854,60501
0,22622,60502
0,16973,60503
0,38013,60504
0,77190,60505
0,54216,60506
0,29533,60510
0,1932,60511
0,1184,60512
0,18880,60513
0,10109,60514
0,28566,60515
0,29268,60516
0,32328,60517
0,3543,60518
0,63,60519
0,2810,60520
0,18402,60521
0,10136,60523
0,30576,60525
0,13546,60526
0,27903,60527
0,484,60530
0,1759,60531
0,28178,60532
0,10544,60534
0,116,60536
0,647,60537
0,28451,60538
0,273,60539
0,45112,60540
0,3660,60541
0,18125,60542
0,40027,60543
0,26498,60544
0,13259,60545
0,15685,60546
0,12374,60548
0,232,60549
0,1454,60550
0,5500,60551
0,4401,60552
0,701,60553
0,12166,60554
0,13448,60555
0,2029,60556
0,157,60557
0,13227,60558
0,24529,60559
0,24886,60560
0,23163,60561
0,37409,60563
0,42513,60564
0,40773,60565
0,24368,60585
0,47692,60586
0,14675,60601
0,1244,60602
0,1174,60603
0,782,60604
0,27519,60605
0,3101,60606
0,29591,60607
0,79205,60608
